40.75,-73.99,13,64.86779540541741
40.75,-73.99,14,64.4358423027035
40.75,-73.99,21,63.851307480290174
40.75,-73.99,12,63.19220552456767
40.75,-73.99,8,62.69206946091694
40.75,-73.99,15,62.34745183625692
40.75,-73.99,22,62.339024728725406
40.75,-73.99,7,62.17929273596894
40.75,-73.99,29,61.88345018823376
40.75,-73.99,20,61.62616804162763
40.75,-73.98,13,60.377551609041355
40.75,-73.99,6,60.23722750029687
40.75,-73.98,14,59.74143267385935
40.74,-73.99,29,59.51364540361352
40.75,-73.98,21,59.22405934480325
40.74,-73.99,14,59.17502890098352
40.75,-73.99,16,59.17413511685139
40.74,-73.99,8,59.14361877291151
40.74,-73.99,15,59.06292283412487
40.75,-73.99,28,59.014403124094926
40.74,-73.99,21,58.83641239835352
40.74,-73.99,22,58.62049968872029
40.75,-73.99,11,58.57338449661226
40.74,-73.99,13,58.52320490176551
40.75,-73.99,9,58.34368197465473
40.75,-73.98,12,58.27728658198218
40.75,-73.98,7,57.73105679380301
40.75,-73.98,8,57.510930530404025
40.75,-73.99,10,57.5003328042659
40.75,-73.98,20,57.288761331845876
40.74,-73.99,7,57.11447342608043
40.74,-73.99,16,57.082935614560974
40.75,-73.99,23,57.06608139949794
40.75,-73.98,15,56.91605334874747
40.75,-73.98,22,56.8915381268376
40.76,-73.98,13,56.77317557105404
40.74,-73.99,12,56.538876444988404
40.75,-73.98,29,56.47094885094649
40.74,-73.99,20,56.29755472931318
40.75,-73.98,6,55.91322755249707
40.74,-73.99,9,55.885137194058686
40.76,-73.98,14,55.79039607605286
40.73,-74.0,16,55.65109343488795
40.76,-73.98,21,55.45241799066009
40.75,-73.99,5,55.409899402660166
40.74,-74.0,29,55.28413120692466
40.75,-73.99,19,55.262425020858636
40.74,-73.99,28,54.983309004739034
40.74,-73.99,6,54.88358823228276
40.75,-73.98,28,54.86916000272123
